date,open,high,low,close,volume,splitfactor,divcash
2019-07-09,96.99,98.34,96.59,97.72,2369966,1.0,0.0
2019-07-10,98.22,98.96,97.51,98.11,1954622,1.0,0.0
2019-07-11,98.66,99.65,97.96,99.59,2446840,1.0,0.0
2019-07-12,99.25,100.65,99.25,100.33,1842401,1.0,0.0
2019-07-15,100.35,101.15,99.39,101.01,3089539,1.0,0.0
2019-07-16,101.0,101.77,99.81,101.38,2625551,1.0,0.0
2019-07-17,101.39,102.04,100.28,100.79,2254372,1.0,0.0
2019-07-18,100.2,101.93,99.83,101.92,2467999,1.0,0.0
2019-07-19,102.33,102.87,101.8,101.96,3972941,1.0,0.0
2019-07-22,102.61,103.15,101.53,102.55,1967810,1.0,0.0
2019-07-23,103.0,103.26,101.98,102.32,1873750,1.0,0.0
2019-07-24,102.04,102.82,101.36,102.42,2924353,1.0,0.0
2019-07-25,102.71,102.84,99.98,101.57,3649042,1.0,0.0
2019-07-26,102.35,102.64,100.47,102.32,2267327,1.0,0.0
2019-07-29,101.91,103.22,101.33,102.81,2275185,1.0,0.0
2019-07-30,102.36,103.65,101.59,103.61,1465867,1.0,0.0
2019-07-31,103.63,104.46,101.48,102.56,2415888,1.0,0.0
2019-08-01,101.95,103.6,101.41,101.99,2153198,1.0,0.0
2019-08-02,101.76,101.9,99.43,99.52,2075611,1.0,0.0
2019-08-05,97.9,98.35,94.99,95.64,3034848,1.0,0.0
2019-08-06,96.56,97.54,96.04,97.41,2164451,1.0,0.0
2019-08-07,95.63,97.73,95.06,97.33,2349829,1.0,0.0
2019-08-08,98.31,100.74,97.88,100.71,2311903,1.0,0.0
2019-08-09,100.53,100.96,99.56,100.44,2005576,1.0,0.0
2019-08-12,100.07,100.14,97.81,98.31,2828443,1.0,0.0
2019-08-13,97.92,101.15,97.1,99.74,2286185,1.0,0.0
2019-08-14,97.61,98.7,97.13,97.53,2529810,1.0,0.0
2019-08-15,97.92,98.45,96.38,97.47,2089861,1.0,0.0
2019-08-16,98.04,99.1,97.67,98.83,2118447,1.0,0.0
2019-08-19,99.29,99.72,98.1,98.76,2747905,1.0,0.9
2019-08-20,98.8,99.69,98.06,98.68,1904478,1.0,0.0
2019-08-21,99.61,100.0,98.28,99.3,1988298,1.0,0.0
2019-08-22,99.25,99.93,98.21,98.46,1946057,1.0,0.0
2019-08-23,97.48,98.87,94.73,95.18,3305150,1.0,0.0
2019-08-26,96.03,96.4,95.1,96.31,1568102,1.0,0.0
2019-08-27,96.98,97.49,94.35,94.52,2585973,1.0,0.0
2019-08-28,94.54,96.86,94.54,96.17,2317517,1.0,0.0
2019-08-29,97.11,98.46,97.04,98.12,2372544,1.0,0.0
2019-08-30,98.67,99.75,98.13,98.63,1932540,1.0,0.0
2019-09-03,97.28,99.61,97.03,99.47,2140081,1.0,0.0
2019-09-04,100.34,100.61,99.11,99.69,1664123,1.0,0.0
2019-09-05,100.6,101.5,99.75,99.8,2668725,1.0,0.0
2019-09-06,100.13,101.38,99.42,100.91,2117513,1.0,0.0
2019-09-09,101.55,102.74,101.01,102.17,2347164,1.0,0.0
2019-09-10,102.42,103.91,102.25,102.96,2367199,1.0,0.0
2019-09-11,103.29,104.22,102.1,102.47,1924039,1.0,0.0
2019-09-12,101.44,102.61,100.7,102.19,1868083,1.0,0.0
2019-09-13,102.93,103.43,102.09,102.77,1688356,1.0,0.0
2019-09-16,102.11,105.0,102.02,104.03,4648979,1.0,0.0
2019-09-17,103.73,103.93,101.96,102.2,2498630,1.0,0.0
2019-09-18,101.65,103.15,101.15,102.99,1819116,1.0,0.0
2019-09-19,103.47,103.99,102.59,103.08,1340630,1.0,0.0
2019-09-20,103.42,104.04,102.87,103.27,9414955,1.0,0.0
2019-09-23,103.01,104.82,103.01,104.26,2470593,1.0,0.0
2019-09-24,104.2,104.39,102.33,103.62,2611169,1.0,0.0
2019-09-25,103.39,105.52,102.9,105.06,3350053,1.0,0.0
2019-09-26,104.63,105.05,103.11,104.56,1768405,1.0,0.0
2019-09-27,104.81,105.48,102.98,103.66,2296997,1.0,0.0
2019-09-30,103.4,103.95,102.34,102.4,1806025,1.0,0.0
2019-10-01,103.16,103.51,100.83,101.03,1898518,1.0,0.0
2019-10-02,100.4,100.46,97.2,98.24,2281153,1.0,0.0
2019-10-03,97.76,98.89,96.95,98.87,2060545,1.0,0.0
2019-10-04,99.27,100.98,99.21,100.86,2097649,1.0,0.0
2019-10-07,101.26,102.25,100.73,101.36,2476961,1.0,0.0
2019-10-08,100.88,101.55,100.39,100.82,2057961,1.0,0.0
2019-10-09,101.96,103.57,101.76,102.71,1835876,1.0,0.0
2019-10-10,103.62,106.71,103.45,106.6,3788842,1.0,0.0
2019-10-11,107.0,108.2,106.42,106.53,2396332,1.0,0.0
2019-10-14,106.0,107.19,105.78,106.65,1430456,1.0,0.0
2019-10-15,106.5,108.12,106.16,107.3,1634310,1.0,0.0
2019-10-16,106.79,107.77,105.94,106.26,1869196,1.0,0.0
2019-10-17,107.0,107.26,106.39,107.21,1768646,1.0,0.0
2019-10-18,107.0,107.98,106.71,107.2,3015944,1.0,0.0
2019-10-21,108.0,108.57,107.57,108.2,1669346,1.0,0.0
2019-10-22,108.69,109.83,108.07,108.77,1583112,1.0,0.0
2019-10-23,108.77,109.2,108.33,109.0,2339279,1.0,0.0
2019-10-24,109.51,110.97,109.18,110.63,3476354,1.0,0.0
2019-10-25,112.23,117.0,111.9,114.42,6245841,1.0,0.0
2019-10-28,115.0,118.92,115.0,117.25,4706804,1.0,0.0
2019-10-29,116.49,119.78,116.35,118.96,3838395,1.0,0.0
2019-10-30,119.22,119.22,116.16,116.45,2286659,1.0,0.0
2019-10-31,116.65,117.24,114.9,116.82,3940607,1.0,0.0
2019-11-01,117.63,118.59,117.4,118.4,2248758,1.0,0.0
2019-11-04,119.47,119.56,117.61,118.54,2031562,1.0,0.0
2019-11-05,119.0,119.89,117.84,118.92,2268207,1.0,0.0
2019-11-06,119.18,119.39,117.76,118.42,2130305,1.0,0.0
2019-11-07,119.15,119.79,118.4,119.57,2386393,1.0,0.0
2019-11-08,118.89,119.92,118.1,119.7,1577558,1.0,0.0
2019-11-11,118.65,119.82,118.35,118.41,1634274,1.0,0.0
2019-11-12,118.86,119.57,117.56,118.1,2178390,1.0,0.0
2019-11-13,117.35,118.92,117.12,118.43,1555431,1.0,0.0
2019-11-14,118.65,119.58,118.38,119.44,1507476,1.0,0.0
2019-11-15,119.21,119.21,117.82,118.36,1636696,1.0,0.9
2019-11-18,118.15,118.67,117.53,118.65,1365005,1.0,0.0
2019-11-19,117.86,118.96,117.03,117.42,2781514,1.0,0.0
2019-11-20,117.27,117.27,114.44,116.06,4337044,1.0,0.0
2019-11-21,116.36,118.68,115.9,118.37,2396852,1.0,0.0
2019-11-22,118.88,118.92,116.2,116.63,2261036,1.0,0.0
2019-11-25,117.0,117.0,115.17,115.42,2758857,1.0,0.0
2019-11-26,115.53,115.76,114.05,114.33,4118132,1.0,0.0
2019-11-27,114.93,115.32,114.04,114.69,2290451,1.0,0.0
2019-11-29,114.42,115.14,114.17,114.72,1105696,1.0,0.0
2019-12-02,114.87,116.06,114.06,114.33,2418315,1.0,0.0
2019-12-03,113.68,113.68,112.42,112.75,4624610,1.0,0.0
2019-12-04,113.54,114.0,112.43,112.57,2128875,1.0,0.0
2019-12-05,112.78,113.21,112.17,112.54,1688644,1.0,0.0
2019-12-06,113.06,114.32,112.95,113.56,2142636,1.0,0.0
2019-12-09,113.2,113.28,111.85,111.96,1585283,1.0,0.0
2019-12-10,112.3,112.57,111.69,111.93,2215780,1.0,0.0
2019-12-11,111.94,112.65,111.48,112.21,1558121,1.0,0.0
2019-12-12,112.13,113.97,111.92,113.73,1618810,1.0,0.0
2019-12-13,113.88,114.66,112.7,112.99,1621930,1.0,0.0
2019-12-16,113.14,114.63,112.79,114.14,2097679,1.0,0.0
2019-12-17,114.16,114.95,112.71,113.03,2671965,1.0,0.0
2019-12-18,113.29,113.94,112.59,113.04,2663781,1.0,0.0
2019-12-19,113.41,113.62,112.49,112.81,1850496,1.0,0.0
2019-12-20,113.79,114.15,112.85,113.35,4666850,1.0,0.0
2019-12-23,113.4,113.67,112.21,112.67,1937506,1.0,0.0
2019-12-24,112.65,113.24,112.59,113.2,1190781,1.0,0.0
2019-12-26,112.57,113.2,111.85,112.06,1147672,1.0,0.0
2019-12-27,112.41,112.41,110.53,110.6,1427480,1.0,0.0
2019-12-30,110.5,111.25,110.13,110.37,1712035,1.0,0.0
2019-12-31,110.22,111.41,110.04,111.41,1695942,1.0,0.0
2020-01-02,112.08,113.18,111.38,112.2,1607907,1.0,0.0
2020-01-03,111.25,112.42,108.19,108.49,2236935,1.0,0.0
2020-01-06,108.24,108.44,107.21,107.81,3913229,1.0,0.0
2020-01-07,107.13,108.22,106.74,108.14,2688535,1.0,0.0
2020-01-08,108.32,108.44,103.81,104.1,3452628,1.0,0.0
2020-01-09,103.38,105.67,102.22,105.62,3127683,1.0,0.0
2020-01-10,105.64,106.75,104.81,104.87,1910747,1.0,0.0
2020-01-13,104.92,106.02,104.54,105.3,2243088,1.0,0.0
2020-01-14,105.27,106.66,104.99,106.38,2753427,1.0,0.0
2020-01-15,105.57,105.71,104.12,104.89,2386282,1.0,0.0
2020-01-16,105.56,105.67,103.65,103.79,2568191,1.0,0.0
2020-01-17,103.79,103.95,102.52,103.31,2781495,1.0,0.0
2020-01-21,102.5,102.99,101.91,102.34,2102017,1.0,0.0
2020-01-22,102.8,102.99,101.57,101.86,2505422,1.0,0.0
2020-01-23,101.49,102.13,100.0,102.08,3520291,1.0,0.0
2020-01-24,101.9,101.99,99.37,100.32,2120498,1.0,0.0
2020-01-27,98.27,98.35,96.62,96.92,2472811,1.0,0.0
2020-01-28,97.45,97.9,96.61,96.69,2926859,1.0,0.0
2020-01-29,97.18,98.91,95.55,95.8,2395603,1.0,0.0
2020-01-30,95.23,96.55,94.5,96.41,2609049,1.0,0.0
2020-01-31,94.9,94.93,90.21,91.37,6450360,1.0,0.0
2020-02-03,91.29,91.38,88.44,88.97,4306807,1.0,0.0
2020-02-04,90.57,90.86,88.28,88.72,3427233,1.0,0.0
2020-02-05,90.37,93.29,90.3123,92.64,3100723,1.0,0.0
2020-02-06,92.99,93.07,90.05,90.22,2606055,1.0,0.0
2020-02-07,89.97,90.49,89.26,90.33,2481481,1.0,0.0
2020-02-10,89.86,91.04,89.62,90.26,2171395,1.0,0.0
2020-02-11,90.94,90.98,89.55,90.27,2682638,1.0,0.0
2020-02-12,91.59,92.3,90.45,91.14,2356691,1.0,0.0
2020-02-13,91.0,91.47,90.17,90.34,2727691,1.0,0.0
2020-02-14,89.52,90.23,88.61,89.47,2254908,1.0,0.9
2020-02-18,88.71,89.1,87.07,88.0,4542590,1.0,0.0
2020-02-19,88.5,88.73,86.72,88.36,2441848,1.0,0.0
2020-02-20,88.51,90.29,88.41,90.19,2905909,1.0,0.0
2020-02-21,89.52,90.16,88.69,89.25,2406868,1.0,0.0
2020-02-24,86.62,87.88,85.93,86.56,3732742,1.0,0.0
2020-02-25,86.83,87.3,82.27,82.81,4211736,1.0,0.0
2020-02-26,83.1,83.74,80.28,80.33,4156284,1.0,0.0
2020-02-27,78.7,78.74,74.24,74.26,6899393,1.0,0.0
2020-02-28,71.7,75.37,71.39,74.86,7137775,1.0,0.0
2020-03-02,75.27,75.45,72.22,75.11,5278775,1.0,0.0
2020-03-03,75.46,77.58,72.1,72.86,5710315,1.0,0.0
2020-03-04,74.02,74.77,72.42,74.63,4201826,1.0,0.0
2020-03-05,72.15,73.82,71.53,71.98,5724764,1.0,0.0
2020-03-06,70.0,71.16,68.02,69.3,6374196,1.0,0.0
2020-03-09,62.65,69.1,60.2,62.09,7990876,1.0,0.0
2020-03-10,65.95,66.87,60.29,63.36,7046669,1.0,0.0
2020-03-11,61.04,61.67,54.12,55.15,8448509,1.0,0.0
2020-03-12,51.02,51.21,44.81,46.4,11484401,1.0,0.0
2020-03-13,50.71,54.41,46.65,54.36,6997088,1.0,0.0
2020-03-16,46.77,57.59,45.32,48.27,7178978,1.0,0.0
2020-03-17,49.08,50.73,45.96,46.67,6273808,1.0,0.0
2020-03-18,44.84,46.93,40.04,42.97,6486664,1.0,0.0
2020-03-19,43.25,46.64,41.81,45.68,4934600,1.0,0.0
2020-03-20,47.19,50.96,45.36,48.35,7603902,1.0,0.0
2020-03-23,47.69,48.0,41.41,42.09,6074162,1.0,0.0
2020-03-24,45.75,46.32,42.4,45.58,5472165,1.0,0.0
2020-03-25,46.19,52.9,43.66,50.5,6515356,1.0,0.0
2020-03-26,51.4,56.74,51.06,54.39,6014401,1.0,0.0
2020-03-27,52.08,54.34,50.05,52.32,4189351,1.0,0.0
2020-03-30,50.67,54.93,48.69,54.16,5207685,1.0,0.0
2020-03-31,55.71,56.5,52.05,53.65,4743836,1.0,0.0
2020-04-01,51.47,51.85,49.04,49.51,4142683,1.0,0.0
2020-04-02,51.5,56.1,50.06,51.72,5167518,1.0,0.0
2020-04-03,53.0,53.35,50.34,51.62,3587176,1.0,0.0
2020-04-06,54.09,57.93,53.44,57.42,5346334,1.0,0.0
2020-04-07,60.17,61.56,58.01,58.63,5280054,1.0,0.0
2020-04-08,59.62,64.2,59.39,63.7,3751917,1.0,0.0
2020-04-09,67.11,67.44,59.4,61.52,5313560,1.0,0.0
2020-04-13,63.1,63.8,60.98,61.56,3438038,1.0,0.0
2020-04-14,61.81,62.41,60.08,61.07,3489320,1.0,0.0
2020-04-15,58.31,58.4,55.06,56.47,4084416,1.0,0.0
2020-04-16,55.97,56.39,53.16,53.53,4346012,1.0,0.0
2020-04-17,54.95,59.69,54.64,59.53,5599733,1.0,0.0
2020-04-20,57.0,60.28,56.51,58.12,3467344,1.0,0.0
2020-04-21,55.51,58.0,54.41,56.8,3286387,1.0,0.0
2020-04-22,59.67,59.87,57.35,58.18,3070675,1.0,0.0
2020-04-23,60.07,60.64,58.36,59.97,3418690,1.0,0.0
2020-04-24,61.0,61.62,59.53,60.53,3399885,1.0,0.0
2020-04-27,60.65,64.13,60.17,63.49,3234185,1.0,0.0
2020-04-28,65.15,67.67,64.23,67.34,3850015,1.0,0.0
2020-04-29,70.0,73.8,69.5,73.5,5168639,1.0,0.0
2020-04-30,73.51,75.63,72.01,73.17,5987204,1.0,0.0
2020-05-01,70.55,71.37,65.26,66.36,6625551,1.0,0.0
2020-05-04,66.01,74.41,65.7,73.48,7573493,1.0,0.0
2020-05-05,75.5,76.77,73.91,75.2,6931628,1.0,0.0
2020-05-06,75.82,76.29,71.82,71.91,5967201,1.0,0.0
2020-05-07,73.79,75.63,72.53,73.31,3586944,1.0,0.0
2020-05-08,74.63,77.44,73.78,77.06,3273192,1.0,0.0
2020-05-11,76.16,77.74,75.85,76.67,3441831,1.0,0.0
2020-05-12,77.12,77.37,73.49,73.53,3116272,1.0,0.0
2020-05-13,73.0,73.36,70.52,71.03,3687405,1.0,0.0
2020-05-14,69.6,72.79,67.87,71.75,3158967,1.0,0.0
2020-05-15,70.47,71.9,69.13,70.93,2830040,1.0,0.9
2020-05-18,75.0,77.74,74.74,76.28,4530887,1.0,0.0
2020-05-19,76.0,76.81,74.11,75.22,3736727,1.0,0.0
2020-05-20,76.81,79.11,76.65,78.25,3500915,1.0,0.0
2020-05-21,78.65,79.1,76.82,77.09,2299457,1.0,0.0
2020-05-22,76.34,76.84,75.15,76.46,2036084,1.0,0.0
2020-05-26,79.16,79.92,78.46,78.97,2747379,1.0,0.0
2020-05-27,80.0,81.92,79.11,81.73,3328117,1.0,0.0
2020-05-28,81.92,82.03,78.2,78.56,4128898,1.0,0.0
2020-05-29,78.33,79.3,77.08,78.26,4305178,1.0,0.0
2020-06-01,78.03,78.97,76.31,78.83,2470063,1.0,0.0
2020-06-02,79.64,81.73,79.08,81.57,3149177,1.0,0.0
2020-06-03,82.85,84.36,82.64,83.73,2561946,1.0,0.0
2020-06-04,82.56,83.64,81.68,83.13,2586339,1.0,0.0
2020-06-05,86.77,88.46,86.15,87.4,3765049,1.0,0.0
2020-06-08,88.56,89.79,87.39,89.73,3355666,1.0,0.0
2020-06-09,86.56,86.91,85.13,85.67,3808874,1.0,0.0
2020-06-10,85.05,87.02,83.41,84.33,3199393,1.0,0.0
2020-06-11,78.01,79.85,74.96,75.0,4386216,1.0,0.0
2020-06-12,77.73,79.66,75.32,77.26,3025661,1.0,0.0
2020-06-15,73.43,76.59,72.6,75.6,4308917,1.0,0.0
2020-06-16,78.9,78.95,75.18,77.04,3419014,1.0,0.0
2020-06-17,77.04,77.27,72.84,72.88,3661744,1.0,0.0
2020-06-18,72.51,76.67,72.1,76.24,3746830,1.0,0.0
2020-06-19,78.0,78.41,74.61,74.7,7483806,1.0,0.0
2020-06-22,74.1,74.84,72.9,74.4,2455337,1.0,0.0
2020-06-23,74.75,75.46,74.17,74.7,2749654,1.0,0.0
2020-06-24,73.5,73.72,69.32,69.99,3559232,1.0,0.0
2020-06-25,69.42,71.46,68.89,70.07,2653714,1.0,0.0
2020-06-26,69.73,69.75,67.96,68.07,3796778,1.0,0.0
2020-06-29,68.84,69.76,67.82,68.66,2365292,1.0,0.0
2020-06-30,68.02,72.35,67.26,71.9,3502492,1.0,0.0
2020-07-01,71.77,73.35,68.83,69.11,2251841,1.0,0.0
2020-07-02,70.27,70.98,68.28,68.42,2618048,1.0,0.0
2020-07-06,69.61,69.95,66.28,68.09,3590778,1.0,0.0
2020-07-07,67.19,67.25,64.48,64.61,3120358,1.0,0.0
2020-07-08,64.68,65.56,63.64,63.98,3795009,1.0,0.0
2020-07-09,64.0,64.33,58.92,58.98,6094509,1.0,0.0
2020-07-10,58.73,61.12,58.72,61.06,4246241,1.0,0.0
2020-07-13,61.34,61.77,59.5,60.27,3480349,1.0,0.0
2020-07-14,59.63,62.21,59.4,61.96,3417515,1.0,0.0
2020-07-15,63.97,65.72,62.7,65.46,3632868,1.0,0.0
2020-07-16,65.07,66.12,63.87,64.87,1855310,1.0,0.0
2020-07-17,65.31,66.16,63.59,63.84,2121658,1.0,0.0
2020-07-20,63.85,64.56,62.27,62.33,2077921,1.0,0.0
2020-07-21,63.73,66.9,63.5,66.42,3241245,1.0,0.0
2020-07-22,65.16,65.529,63.91,65.25,2585748,1.0,0.0
2020-07-23,64.82,65.7,63.97,65.18,2104706,1.0,0.0
2020-07-24,65.45,66.48,64.75,65.06,2040648,1.0,0.0
2020-07-27,64.75,65.03,63.6,64.59,1826579,1.0,0.0
2020-07-28,64.14,64.96,63.4,63.58,2428573,1.0,0.0
2020-07-29,64.16,65.59,63.71,65.58,2449149,1.0,0.0
2020-07-30,64.01,64.21,61.3,63.09,3118401,1.0,0.0
2020-07-31,61.37,63.1,60.59,62.02,5835880,1.0,0.0
2020-08-03,61.31,62.0,60.035,61.12,4331873,1.0,0.0
2020-08-04,60.75,62.33,60.12,61.85,3412611,1.0,0.0
2020-08-05,63.12,63.12,60.53,61.96,4595467,1.0,0.0
2020-08-06,61.1,62.9499,60.6799,60.97,3187788,1.0,0.0
2020-08-07,60.6,62.99,60.14,62.87,2913999,1.0,0.0
2020-08-10,63.37,64.92,62.9,64.87,3387086,1.0,0.0
2020-08-11,66.39,67.47,63.75,64.11,3544158,1.0,0.0
2020-08-12,65.34,65.51,63.805,64.41,3442555,1.0,0.0
2020-08-13,63.85,64.29,62.62,62.63,2875543,1.0,0.0
2020-08-14,62.1,63.76,61.86,63.66,2638121,1.0,0.0
2020-08-17,62.7,63.14,62.13,62.36,2810265,1.0,0.9
2020-08-18,62.26,62.5,61.09,61.31,2658848,1.0,0.0
2020-08-19,61.5,62.0861,60.37,61.42,3100845,1.0,0.0
2020-08-20,60.76,61.59,60.62,60.97,2598679,1.0,0.0
2020-08-21,61.0,61.78,60.57,60.97,3125231,1.0,0.0
2020-08-24,61.25,63.68,60.675,63.65,3011164,1.0,0.0
2020-08-25,63.7,63.95,61.4167,61.63,2303863,1.0,0.0
2020-08-26,61.42,61.84,60.01,60.03,3003408,1.0,0.0
2020-08-27,60.18,60.43,59.07,60.26,3160242,1.0,0.0
2020-08-28,60.35,62.07,60.35,61.79,2470843,1.0,0.0
2020-08-31,61.85,61.92,58.46,58.47,3656992,1.0,0.0
2020-09-01,58.38,59.41,57.71,58.79,3195032,1.0,0.0
2020-09-02,58.59,60.38,57.83,60.05,4491722,1.0,0.0
2020-09-03,60.13,61.73,59.2,59.69,3365737,1.0,0.0
2020-09-04,60.0,60.6372,58.56,58.98,3420393,1.0,0.0
2020-09-08,58.32,59.63,57.87,57.96,4120005,1.0,0.0
2020-09-09,58.04,58.63,57.16,57.87,3057108,1.0,0.0
2020-09-10,58.16,58.26,55.35,55.36,3100885,1.0,0.0
2020-09-11,55.69,57.42,54.88,57.07,3002097,1.0,0.0
2020-09-14,57.52,58.92,57.43,58.37,2889682,1.0,0.0
2020-09-15,58.25,59.54,57.71,58.05,3397667,1.0,0.0
2020-09-16,58.75,61.73,58.11,60.51,5347858,1.0,0.0
2020-09-17,58.82,60.42,58.76,60.35,4186969,1.0,0.0
2020-09-18,59.25,60.7201,58.93,59.82,7292385,1.0,0.0
2020-09-21,57.92,58.23,55.58,55.92,6187532,1.0,0.0
2020-09-22,55.71,56.8151,54.87,55.36,4135916,1.0,0.0
2020-09-23,55.47,55.82,52.5622,52.63,3725292,1.0,0.0
2020-09-24,52.3,53.85,51.05,52.85,2980966,1.0,0.0
2020-09-25,52.07,53.28,51.7,52.88,2824527,1.0,0.0
2020-09-28,53.94,54.64,53.43,53.98,2126626,1.0,0.0
2020-09-29,53.76,53.82,51.76,52.19,2464654,1.0,0.0
2020-09-30,52.47,53.05,51.59,51.84,2670325,1.0,0.0
2020-10-01,51.19,51.6,49.7457,50.28,4047133,1.0,0.0
2020-10-02,48.96,51.7643,48.8205,51.06,3453476,1.0,0.0
2020-10-05,51.83,53.125,51.72,52.55,2711639,1.0,0.0
2020-10-06,53.49,53.49,50.935,51.06,2926513,1.0,0.0
2020-10-07,51.45,52.18,50.65,51.93,2621494,1.0,0.0
2020-10-08,52.12,53.66,52.06,53.64,2397977,1.0,0.0
2020-10-09,54.04,54.5,52.55,53.04,3185968,1.0,0.0
2020-10-12,52.66,54.36,51.925,53.46,2768995,1.0,0.0
2020-10-13,52.87,53.46,51.115,51.27,2885576,1.0,0.0
2020-10-14,51.72,53.36,51.5301,52.08,2112867,1.0,0.0
2020-10-15,51.05,52.74,50.42,52.51,3502154,1.0,0.0
2020-10-16,52.46,52.5,50.47,50.58,2939724,1.0,0.0
2020-10-19,50.91,50.93,48.88,48.95,3683154,1.0,0.0
2020-10-20,49.37,50.091,49.08,49.59,3471831,1.0,0.0
2020-10-21,48.88,49.821,48.66,48.72,3798361,1.0,0.0
2020-10-22,48.68,50.19,47.55,50.01,3408707,1.0,0.0
2020-10-23,50.55,51.44,49.41,50.48,3291382,1.0,0.0
2020-10-26,49.64,49.6504,47.9,48.14,3215005,1.0,0.0
2020-10-27,48.0,48.3744,47.02,47.07,3525708,1.0,0.0
2020-10-28,45.73,46.5,44.14,44.22,4911672,1.0,0.0
2020-10-29,43.62,46.18,43.27,45.98,4436266,1.0,0.0
2020-10-30,45.38,46.74,44.91,46.66,4579288,1.0,0.0
2020-11-02,47.38,48.48,46.51,47.96,3732559,1.0,0.0
2020-11-03,48.62,49.04,46.85,47.52,3287310,1.0,0.0
2020-11-04,47.66,49.25,46.61,47.92,3709042,1.0,0.0
2020-11-05,47.71,48.905,47.43,48.19,3211571,1.0,0.0
2020-11-06,48.11,48.89,46.185,46.68,3617112,1.0,0.0
2020-11-09,52.42,58.2269,52.3,57.03,8912774,1.0,0.0
2020-11-10,58.69,58.78,55.7,58.14,5192434,1.0,0.0
2020-11-11,58.9,58.99,57.685,58.98,4588526,1.0,0.0
2020-11-12,57.68,58.53,54.6,54.85,5079940,1.0,0.0
2020-11-13,55.57,59.5,55.5,58.76,5658371,1.0,0.0
2020-11-16,61.19,63.135,59.1,62.62,6020348,1.0,0.9
2020-11-17,61.25,64.43,60.25,64.34,5370214,1.0,0.0
2020-11-18,64.76,64.85,60.72,60.75,4151026,1.0,0.0
2020-11-19,60.0,61.815,59.53,61.45,2673663,1.0,0.0
2020-11-20,61.3,62.49,61.01,61.59,2651716,1.0,0.0
2020-11-23,62.72,65.92,62.6009,65.84,4506466,1.0,0.0
2020-11-24,68.15,68.7108,66.6,67.72,4193509,1.0,0.0
2020-11-25,66.88,67.23,65.77,66.26,3755886,1.0,0.0
2020-11-27,65.62,66.25,64.695,65.23,1936013,1.0,0.0
2020-11-30,64.26,64.5,60.3,60.58,6423021,1.0,0.0
2020-12-01,62.78,64.18,61.5316,61.88,4011966,1.0,0.0
2020-12-02,61.2,65.28,61.0437,64.43,4410677,1.0,0.0
2020-12-03,64.75,66.9,63.84,65.02,2732736,1.0,0.0
2020-12-04,66.74,69.92,66.52,69.32,4437462,1.0,0.0
2020-12-07,68.32,68.81,66.32,67.05,3059542,1.0,0.0
2020-12-08,66.06,69.08,66.06,67.39,3050808,1.0,0.0
2020-12-09,68.46,70.095,66.9832,68.77,3602172,1.0,0.0
2020-12-10,68.15,71.7,68.15,70.86,3352563,1.0,0.0
2020-12-11,70.2,70.4221,68.45,69.51,2557008,1.0,0.0
2020-12-14,69.71,70.55,66.865,67.19,2816386,1.0,0.0
2020-12-15,67.16,68.69,66.25,68.25,3028539,1.0,0.0
2020-12-16,68.45,68.5,66.92,67.29,3395174,1.0,0.0
2020-12-17,67.86,67.87,66.4,67.17,3162471,1.0,0.0
2020-12-18,67.09,67.52,66.06,66.85,8457011,1.0,0.0
2020-12-21,64.76,67.26,63.8,66.49,3479152,1.0,0.0
2020-12-22,66.52,68.18,66.15,67.51,3574303,1.0,0.0
2020-12-23,68.38,69.973,68.01,69.36,2988063,1.0,0.0
2020-12-24,69.19,69.28,68.04,68.73,1295243,1.0,0.0
2020-12-28,69.44,70.93,69.04,69.33,2341115,1.0,0.0
2020-12-29,69.45,69.87,67.78,68.38,3847467,1.0,0.0
2020-12-30,68.59,70.91,68.49,70.6,2906007,1.0,0.0
2020-12-31,70.5,70.74,69.76,69.94,2003500,1.0,0.0
2021-01-04,70.61,71.29,68.56,69.88,2714167,1.0,0.0
2021-01-05,70.0,73.78,70.0,71.75,3907023,1.0,0.0
2021-01-06,73.01,73.42,70.34,71.22,5097922,1.0,0.0
2021-01-07,71.5,73.311,70.784,71.86,2568254,1.0,0.0
2021-01-08,72.51,72.6,70.34,70.71,2683622,1.0,0.0
2021-01-11,69.0,72.8,68.6801,72.27,4944577,1.0,0.0
2021-01-12,72.72,74.07,71.64,73.74,2645508,1.0,0.0
2021-01-13,73.5,73.7,71.53,71.77,2520582,1.0,0.0
2021-01-14,72.03,74.95,72.0,74.14,3028678,1.0,0.0
2021-01-15,73.15,73.455,70.93,71.74,3413699,1.0,0.0
2021-01-19,72.72,75.17,72.08,74.78,2976262,1.0,0.0
2021-01-20,75.4,75.96,73.94,75.39,2566771,1.0,0.0
2021-01-21,74.56,75.41,72.63,73.16,2698745,1.0,0.0
2021-01-22,71.7,73.09,71.1471,72.55,2563594,1.0,0.0
2021-01-25,72.0,73.2,71.03,72.08,3003634,1.0,0.0
2021-01-26,72.85,74.08,71.26,71.31,2056790,1.0,0.0
2021-01-27,70.22,73.18,69.7,71.2,3080395,1.0,0.0
2021-01-28,71.7,72.62,70.56,71.45,2654497,1.0,0.0
2021-01-29,69.3,71.4,67.39,67.8,5732821,1.0,0.0
2021-02-01,68.34,68.45,65.38,67.38,2968958,1.0,0.0
2021-02-02,69.16,70.15,67.6129,68.66,2319039,1.0,0.0
2021-02-03,68.66,71.39,68.66,71.29,2599046,1.0,0.0
